data;selic;ipca;dolar
2023-05-01;13.65;3.94;5.0959
2023-06-01;13.65;3.16;4.8192
2023-07-01;13.65;3.99;4.7415
2023-08-01;13.19;4.61;4.9219
2023-09-01;12.97;5.19;5.0076
2023-10-01;12.65;4.82;5.0575
2023-11-01;12.17;4.68;4.9355
2023-12-01;11.87;4.62;4.8413
2024-01-01;11.65;4.51;4.9535
2024-02-01;11.15;4.5;4.9833
2024-03-01;11.0;3.93;4.9962
2024-04-01;10.65;3.69;5.1718
2024-05-01;10.46;3.93;5.2416
2024-06-01;10.4;4.23;5.5589
2024-07-01;10.4;4.5;5.6621
2024-08-01;10.4;4.24;5.6562
2024-09-01;10.5;4.42;5.4481
2024-10-01;10.65;4.76;5.7779
2024-11-01;11.04;4.87;6.0535
2024-12-01;11.77;4.83;6.1923
2025-01-01;12.24;4.56;5.8301
2025-02-01;13.15;5.06;5.8488
2025-03-01;13.57;5.48;5.7422
2025-04-01;14.15;5.53;5.6608
2025-05-01;14.55;5.32;5.7087
2025-06-01;14.74;5.35;5.4571
2025-07-01;14.9;5.23;5.6021
